time_epoch_braclet acc_x acc_y acc_z gyro_x gyro_y gyro_z quat_w quat_x quat_y quat_z rssi-inCollision acc_x-inCollision acc_y-inCollision acc_z-inCollision gyro_x-inCollision gyro_y-inCollision gyro_z-inCollision quat_w-inCollision quat_x-inCollision quat_y-inCollision quat_z-inCollision bracelets-distance
1595876265.714000 947 -220 -417 806 784 798 -1.420279e-01 8.317206e-01 2.828961e-01 4.561127e-01 71 -942 94 160 -4 108 -8 -7.400487e-01 -2.353507e-01 -5.952128e-01 2.065423e-01 2.072176
1595876265.768000 947 -220 -417 806 784 798 -1.420279e-01 8.317206e-01 2.828961e-01 4.561127e-01 71 -942 94 160 -4 108 -8 -7.400487e-01 -2.353507e-01 -5.952128e-01 2.065423e-01 1.965386
1595876265.814000 974 -216 -556 1844 546 1160 -2.381040e-01 8.179524e-01 2.619083e-01 4.535024e-01 0 0 0 0 0 0 0 0 0 0 0 1.929605
1595876265.868000 974 -216 -556 1844 546 1160 -2.381040e-01 8.179524e-01 2.619083e-01 4.535024e-01 64 -989 88 191 -29 103 -46 -7.361049e-01 -2.351141e-01 -6.002368e-01 2.063657e-01 1.835181
1595876265.914000 896 -165 -474 2161 1323 594 -3.667521e-01 7.682324e-01 2.641543e-01 4.533590e-01 70 -972 97 196 7 -24 -56 -7.354693e-01 -2.316881e-01 -6.018641e-01 2.077624e-01 1.781065
1595876265.968000 896 -165 -474 2161 1323 594 -3.667521e-01 7.682324e-01 2.641543e-01 4.533590e-01 66 -972 97 196 7 -24 -56 -7.354693e-01 -2.316881e-01 -6.018641e-01 2.077624e-01 1.686400
1595876266.014000 707 -117 -389 1019 324 630 -4.558145e-01 7.219911e-01 2.675194e-01 4.465371e-01 64 -942 107 166 37 -115 41 -7.381660e-01 -2.312033e-01 -5.982722e-01 2.091084e-01 1.650023
1595876266.068000 707 -117 -389 1019 324 630 -4.558145e-01 7.219911e-01 2.675194e-01 4.465371e-01 64 -942 107 166 37 -115 41 -7.381660e-01 -2.312033e-01 -5.982722e-01 2.091084e-01 1.577354
1595876266.114000 741 -143 -366 297 147 256 -4.764519e-01 7.148000e-01 2.772894e-01 4.303082e-01 66 -921 117 126 70 -49 119 -7.408975e-01 -2.353489e-01 -5.935603e-01 2.082496e-01 1.543697
1595876266.168000 741 -143 -366 297 147 256 -4.764519e-01 7.148000e-01 2.772894e-01 4.303082e-01 64 -921 117 126 70 -49 119 -7.408975e-01 -2.353489e-01 -5.935603e-01 2.082496e-01 1.516893
1595876266.214000 855 -158 -377 -524 -315 -191 -4.585554e-01 7.265598e-01 2.839955e-01 4.256576e-01 65 -942 104 155 -56 132 61 -7.384038e-01 -2.420046e-01 -5.958256e-01 2.029420e-01 1.482934
1595876266.268000 855 -158 -377 -524 -315 -191 -4.585554e-01 7.265598e-01 2.839955e-01 4.256576e-01 66 -942 104 155 -56 132 61 -7.384038e-01 -2.420046e-01 -5.958256e-01 2.029420e-01 1.469555
1595876266.314000 1058 -172 -555 -899 -1155 -861 -4.126679e-01 7.467818e-01 3.124459e-01 4.176119e-01 67 -958 97 194 1 133 -61 -7.345529e-01 -2.394392e-01 -6.024127e-01 2.004991e-01 1.460272
1595876266.367000 1058 -172 -555 -899 -1155 -861 -4.126679e-01 7.467818e-01 3.124459e-01 4.176119e-01 67 -958 97 194 1 133 -61 -7.345529e-01 -2.394392e-01 -6.024127e-01 2.004991e-01 1.454616
1595876266.414000 1050 -192 -445 -1758 -562 -1172 -3.215212e-01 7.684040e-01 3.491081e-01 4.293053e-01 69 -988 95 168 -5 10 90 -7.331145e-01 -2.402413e-01 -6.042655e-01 1.992245e-01 1.453003
1595876266.467000 821 -223 -380 -1799 -450 -594 -2.162074e-01 8.000847e-01 3.530421e-01 4.341430e-01 70 -988 95 168 -5 10 90 -7.331145e-01 -2.402413e-01 -6.042655e-01 1.992245e-01 1.447376
1595876266.514000 821 -223 -380 -1799 -450 -594 -2.138028e-01 7.911864e-01 3.514960e-01 4.525076e-01 72 -931 93 165 -3 -12 -16 -7.344958e-01 -2.412105e-01 -6.028432e-01 1.972653e-01 1.442657
1595876266.568000 821 -223 -380 -1799 -450 -594 -2.138028e-01 7.911864e-01 3.514960e-01 4.525076e-01 69 -931 93 165 -3 -12 -16 -7.344958e-01 -2.412105e-01 -6.028432e-01 1.972653e-01 1.432979
1595876266.614000 974 -214 -516 -853 193 300 -1.498430e-01 8.085420e-01 3.285560e-01 4.646050e-01 66 -954 119 141 14 -3 -36 -7.343081e-01 -2.399273e-01 -6.030226e-01 1.989730e-01 1.419003
1595876266.667000 974 -214 -516 -853 193 300 -1.498430e-01 8.085420e-01 3.285560e-01 4.646050e-01 72 -954 119 141 14 -3 -36 -7.343081e-01 -2.399273e-01 -6.030226e-01 1.989730e-01 1.396368
1595876266.714000 786 -174 -287 -733 3 1032 -1.441634e-01 8.185940e-01 2.786222e-01 4.811345e-01 75 -945 129 126 71 11 43 -7.332130e-01 -2.439567e-01 -6.023540e-01 2.001336e-01 1.366974
1595876266.767000 786 -174 -287 -733 3 1032 -1.441634e-01 8.185940e-01 2.786222e-01 4.811345e-01 69 -945 129 126 71 11 43 -7.332130e-01 -2.439567e-01 -6.023540e-01 2.001336e-01 1.338077
